TANGGAL;TN;TX;TAVG;RH_AVG;RR;SS
23/04/2016;25,4;31,6;27,7;88;2,595254707;3,5
24/04/2016;25,4;31,2;28,2;86;2,219203484;0
25/04/2016;26,2;31,2;26,3;93;0;1,9
26/04/2016;25;31,4;28,1;85;3,996364154;2,3
27/04/2016;25,3;32;27,9;87;3,634071218;5,1
28/04/2016;25,15;31,8;28;86;3,060270795;4,45
29/04/2016;25;32,2;27;89;1,568615918;3,8
30/04/2016;24,4;31,7;27,2;89;2,509599262;4,5
05/01/2016;24,7;32,8;28;86;3,0301337;3,3
05/02/2016;25;33,4;28,8;82;1,526056303;0
05/03/2016;25,7;33,6;29,2;80;0;6,2
05/04/2016;25,3;33,6;29,2;78;0;7,8
05/05/2016;25,65;33,6;29;80;0,09531018;7,8
05/06/2016;26;32,2;27,5;88;0,182321557;7,8
05/07/2016;25;31,1;27,5;89;2,833213344;2,4
05/08/2016;24,8;32,5;28,4;85;2,397895273;4
05/09/2016;25,4;32,6;27,6;89;0;5,6
05/10/2016;24;33,4;29,1;82;3,824284091;6,75
05/11/2016;25,8;31,8;27,7;89;0;7,9
05/12/2016;25,4;30,4;27,7;89;2,975529566;3,8
13/05/2016;25,4;30,8;28,1;87;1,609437912;4
14/05/2016;26;31;26,9;92;2,00148;3,5
15/05/2016;25,6;32;28,6;84;1,791759469;0,6
16/05/2016;25,4;33;27;90;0;8,3
17/05/2016;24,2;33,2;28,7;84;4,737951297;6,75
18/05/2016;25,3;32,6;27,4;90;4,184337601;5,2
19/05/2016;25,8;31,8;28;88;2,839078464;3,9
20/05/2016;26;32,2;28,9;85;0,641853886;3,2
21/05/2016;26,2;31,2;28,1;86;0;5,7
22/05/2016;24,8;31,2;27,5;88;3,985273467;2,1
23/05/2016;24,6;33,4;29,2;81;3,317815773;0,1
24/05/2016;25,4;31,8;28,7;82;0,336472237;6,5
25/05/2016;26,2;33;29;82;3,317815773;7,2
26/05/2016;24,2;29,9;27;91;3,985273467;4,1
27/05/2016;23,9;32,8;28,9;84;3,139832618;1
28/05/2016;25,8;31,4;27,3;88;0,405465108;7,9
29/05/2016;25;32;28;86;1,824549292;1,1
30/05/2016;24,2;30,6;27,4;86;2,76000994;4,8
31/05/2016;24,2;32,4;28,6;81;0,587786665;0,5
06/01/2016;25,4;31,2;27,6;86;0;1,733333333
06/02/2016;24,5;32;27;88;0,741937345;2,966666667
06/03/2016;23,6;32,2;26,9;88;3,280911216;4,2
06/04/2016;23,8;26,8;25,3;94;3,933784497;5,5
06/05/2016;23,8;31,6;27,8;88;2,2300144;4,7
